Campaign UUID,Offer type,Status,Start date,End date,Stores,Audience,Sales (USD),New customers,Orders,Uber funding (%),Items,folder_name
caabc160-5347-4f31-9286-1ac486ad1ab6,Free Item (Spend 15),ACTIVE,"Jul 9, 2025","Jul 20, 2025",1,Custom audience,$0,0,0,0,,QSR Executive Enterprises-July7-July13
cb4e91a7-2bd3-4589-b525-ad9f265d35c9,Free Item (Spend 15),ACTIVE,"Jul 9, 2025","Jul 20, 2025",1,Custom audience,$393,3,14,0,Medium French Fries,QSR Executive Enterprises-July7-July13
d646803f-5e63-40a4-827b-87f0a3f723f9,Free Item (Spend 15),ACTIVE,"Jul 9, 2025","Jul 20, 2025",1,Custom audience,$0,0,0,0,,QSR Executive Enterprises-July7-July13
94643e84-44c0-4fb2-94b2-eb1e001e5391,Free Item (Spend 15),ACTIVE,"Jul 9, 2025","Jul 20, 2025",1,Custom audience,$111,0,4,0,Medium French Fries,QSR Executive Enterprises-July7-July13
2c1b2d6e-a2bf-46a7-886f-b58fe95c8cdc,Free Item (Spend 15),ACTIVE,"Jul 9, 2025","Jul 20, 2025",1,Custom audience,$0,0,0,0,,QSR Executive Enterprises-July7-July13
7336b974-e736-44a8-8f75-1762a93a7ecd,Free Item (Spend 15),ACTIVE,"Jul 9, 2025","Jul 20, 2025",1,Custom audience,"$1,986",12,71,0,Medium French Fries,QSR Executive Enterprises-July7-July13
d47f8968-4d56-4656-94ae-b54317f7f510,Free Item (Spend 15),ACTIVE,"Jul 9, 2025","Jul 20, 2025",1,Custom audience,$0,0,0,0,,QSR Executive Enterprises-July7-July13
36666304-5521-4a8f-a7d1-f908d7900ca0,Free Item (Spend 15),ACTIVE,"Jul 9, 2025","Jul 20, 2025",1,Custom audience,$0,0,0,0,,QSR Executive Enterprises-July7-July13
2e010c37-d344-4d9f-b52a-d0193f2ad876,Free Item (Spend 15),ACTIVE,"Jul 9, 2025","Jul 20, 2025",1,Custom audience,$828,5,26,0,Medium French Fries,QSR Executive Enterprises-July7-July13
362cf8d4-e37d-4e7a-93c3-3a1d93d85b61,Free Item (Spend 15),ACTIVE,"Jul 9, 2025","Jul 20, 2025",1,Custom audience,$0,0,0,0,,QSR Executive Enterprises-July7-July13
8f73b6ff-f883-4911-a453-4064e427679c,Free Item (Spend 15),ACTIVE,"Jul 9, 2025","Jul 20, 2025",1,Custom audience,$0,0,0,0,,QSR Executive Enterprises-July7-July13
b5bbdf19-9772-48a7-858e-2d67be43eecd,Free Item (Spend 15),ACTIVE,"Jul 9, 2025","Jul 20, 2025",1,Custom audience,$28,0,1,0,Medium French Fries,QSR Executive Enterprises-July7-July13
f4add0fa-90e5-482a-96d3-aa012493395f,Free Item (Spend 15),ACTIVE,"Jul 9, 2025","Jul 20, 2025",1,Custom audience,$0,0,0,0,,QSR Executive Enterprises-July7-July13
6dcbcbee-75ac-4c4b-94d1-fed83465d876,Free Item (Spend 15),ACTIVE,"Jul 9, 2025","Jul 20, 2025",1,Custom audience,$381,2,12,0,Medium French Fries,QSR Executive Enterprises-July7-July13
734cee3a-6a25-4155-9ee8-19a766f200d5,Free Item (Spend 15),ACTIVE,"Jul 9, 2025","Jul 20, 2025",1,Custom audience,$0,0,0,0,,QSR Executive Enterprises-July7-July13
ea6c1aec-337a-4931-9ca4-ae40bf266bb0,Free Item (Spend 15),ACTIVE,"Jul 9, 2025","Jul 20, 2025",1,Custom audience,$335,0,12,0,Medium French Fries,QSR Executive Enterprises-July7-July13
3c47d53b-454f-4f87-ba69-2ad2fd22fa95,Free Item (Spend 15),ACTIVE,"Jul 9, 2025","Jul 20, 2025",1,Custom audience,$458,1,12,0,Medium French Fries,QSR Executive Enterprises-July7-July13
b051fbb1-4390-4556-8460-febc3afce126,Free Item (Spend 15),ACTIVE,"Jul 9, 2025","Jul 20, 2025",1,Custom audience,$223,0,8,0,Medium French Fries,QSR Executive Enterprises-July7-July13
e4c800dd-ef89-405e-9046-30b610584a63,Free Item (Spend 15),ACTIVE,"Jul 9, 2025","Jul 20, 2025",1,Custom audience,$367,2,12,0,Medium French Fries,QSR Executive Enterprises-July7-July13
2067fca7-10e8-48b7-8d7c-018a7e1b1317,"Buy 1, Get 1 Free",ACTIVE,"Jun 30, 2025","Jul 20, 2025",1,Custom audience,$0,0,0,0,,QSR Executive Enterprises-July7-July13
7bb3f560-f178-4dcf-a0ed-6d19b64e6c2e,"Buy 1, Get 1 Free",ACTIVE,"Jun 30, 2025","Jul 20, 2025",1,Custom audience,$0,0,0,0,,QSR Executive Enterprises-July7-July13
6a1931dd-77c7-4e0b-84d2-20354ccb5426,"Buy 1, Get 1 Free",ACTIVE,"Jun 30, 2025","Jul 20, 2025",1,Custom audience,$113,3,3,0,10 pc. Chicken McNuggets®,QSR Executive Enterprises-July7-July13
f6c44b21-8121-4268-aeb0-c9fc960afb35,"Buy 1, Get 1 Free",ACTIVE,"Jun 30, 2025","Jul 20, 2025",1,Custom audience,$0,0,0,0,,QSR Executive Enterprises-July7-July13
cc465235-b238-4e6c-8071-76cb0c9704b0,"Buy 1, Get 1 Free",ACTIVE,"Jun 30, 2025","Jul 20, 2025",1,Custom audience,$0,0,0,0,,QSR Executive Enterprises-July7-July13
43f229bb-c7e2-4c06-84cb-10e0d80146c7,"Buy 1, Get 1 Free",ACTIVE,"Jun 30, 2025","Jul 20, 2025",1,Custom audience,$78,2,2,0,10 pc. Chicken McNuggets®,QSR Executive Enterprises-July7-July13
2c37199c-7437-4252-9157-0a074e2ebac5,"Buy 1, Get 1 Free",ACTIVE,"Jun 30, 2025","Jul 20, 2025",1,Custom audience,$48,2,2,0,10 pc. Chicken McNuggets®,QSR Executive Enterprises-July7-July13
3675f34f-1569-4d86-bba0-5e7617c69282,"Buy 1, Get 1 Free",ACTIVE,"Jun 30, 2025","Jul 20, 2025",1,Custom audience,$0,0,0,0,,QSR Executive Enterprises-July7-July13
f49d0833-1094-4c0c-b365-59d232292332,"Buy 1, Get 1 Free",ACTIVE,"Jun 30, 2025","Jul 20, 2025",1,Custom audience,$59,1,2,0,10 pc. Chicken McNuggets®,QSR Executive Enterprises-July7-July13
d3ed1107-5409-4d79-8c76-b3ce8ae91704,"Buy 1, Get 1 Free",ACTIVE,"Jun 30, 2025","Jul 20, 2025",1,Custom audience,$0,0,0,0,,QSR Executive Enterprises-July7-July13
ee7df889-eba2-42b4-9c05-f25608403a0c,"Buy 1, Get 1 Free",ACTIVE,"Jun 30, 2025","Jul 20, 2025",1,Custom audience,"$1,011",21,34,0,10 pc. Chicken McNuggets®,QSR Executive Enterprises-July7-July13
8ef2621b-0204-4be3-b620-032c23f94d7e,"Buy 1, Get 1 Free",ACTIVE,"Jun 30, 2025","Jul 20, 2025",1,Custom audience,$0,0,0,0,,QSR Executive Enterprises-July7-July13
c74e04b0-09c0-4c09-ae83-abe35b5b13a4,"Buy 1, Get 1 Free",ACTIVE,"Jun 30, 2025","Jul 20, 2025",1,Custom audience,$0,0,0,0,,QSR Executive Enterprises-July7-July13
e552ce76-da8d-4780-aea4-e4f7942ac75d,"Buy 1, Get 1 Free",ACTIVE,"Jun 30, 2025","Jul 20, 2025",1,Custom audience,$267,3,9,0,10 pc. Chicken McNuggets®,QSR Executive Enterprises-July7-July13
