Date,Is self serve campaign,Campaign ID,Campaign name,Campaign start date,Campaign end date,Store ID,Store name,Currency,Impressions,Clicks,Orders,Sales,Marketing fees | (including any applicable taxes),DoorDash marketing credit,Third-party contribution,Average order value,Average CPA,ROAS,New customers acquired,Existing customers acquired,Total customers acquired
2025-07-25,false,0078ffcf-2b67-4434-8596-77d079607494,McDonald's Ad Campaign (GCM) 7/24-7/27/25,2025-07-24,2025-07-28,686933,McDonald's (24316-HENDERSON),USD,49,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
2025-07-26,false,0078ffcf-2b67-4434-8596-77d079607494,McDonald's Ad Campaign (GCM) 7/24-7/27/25,2025-07-24,2025-07-28,686933,McDonald's (24316-HENDERSON),USD,67,3,2,32.57,6.00,0.00,0.00,16.29,3.00,5.43,0,2,2
2025-07-27,false,0078ffcf-2b67-4434-8596-77d079607494,McDonald's Ad Campaign (GCM) 7/24-7/27/25,2025-07-24,2025-07-28,686933,McDonald's (24316-HENDERSON),USD,80,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
2025-07-28,false,0078ffcf-2b67-4434-8596-77d079607494,McDonald's Ad Campaign (GCM) 7/24-7/27/25,2025-07-24,2025-07-28,686933,McDonald's (24316-HENDERSON),USD,9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
2025-07-28,false,d4bc0a95-f827-4a41-a14e-da1c9485d9b9,SL - Coca Cola (No Image - DD Funded) 7/28-7/31/25,2025-07-28,2025-08-01,686933,McDonald's (24316-HENDERSON),USD,38,3,1,19.07,6.59,-6.59,0.00,19.07,6.59,2.89,0,1,1
2025-07-28,false,52f6984f-cd32-4ffd-b799-66b9c892fbd6,SL - Coca Cola (Image - DD Funded) 7/28-7/31/25,2025-07-28,2025-08-01,686933,McDonald's (24316-HENDERSON),USD,50,4,1,23.34,3.95,-3.95,0.00,23.34,3.95,5.91,0,1,1
2025-07-29,false,52f6984f-cd32-4ffd-b799-66b9c892fbd6,SL - Coca Cola (Image - DD Funded) 7/28-7/31/25,2025-07-28,2025-08-01,686933,McDonald's (24316-HENDERSON),USD,88,17,8,190.64,48.68,-48.68,0.00,23.83,6.09,3.92,1,7,8
2025-07-29,false,d4bc0a95-f827-4a41-a14e-da1c9485d9b9,SL - Coca Cola (No Image - DD Funded) 7/28-7/31/25,2025-07-28,2025-08-01,686933,McDonald's (24316-HENDERSON),USD,101,7,1,16.58,3.90,-3.90,0.00,16.58,3.90,4.25,0,1,1
2025-07-30,false,52f6984f-cd32-4ffd-b799-66b9c892fbd6,SL - Coca Cola (Image - DD Funded) 7/28-7/31/25,2025-07-28,2025-08-01,686933,McDonald's (24316-HENDERSON),USD,59,9,4,112.18,24.50,-24.50,0.00,28.05,6.13,4.58,0,4,4
2025-07-30,false,d4bc0a95-f827-4a41-a14e-da1c9485d9b9,SL - Coca Cola (No Image - DD Funded) 7/28-7/31/25,2025-07-28,2025-08-01,686933,McDonald's (24316-HENDERSON),USD,92,11,6,118.76,27.50,-27.50,0.00,19.79,4.58,4.32,0,6,6
